time,lat,lon,depth,RMS,Nphs,Gap,Dist,errH,errZ,Mamp,Mdur,expect_lat,expect_lon,expect_z,EllipsoidAz1,EllipsoidDip1,EllipsoidLen1,EllipsoidAz2,EllipsoidDip2,EllipsoidLen2,EllipsoidLen3,minHorUnc,maxHorUnc,azMaxHorUnc,pdfVolume,mech_strike,mech_dip,mech_rake,mech_misfit,mech_Nobs,publicId,x,y,disloc,along_stk_disloc
1990-06-21 10:26:09.203034,40.3446,-124.3739,10.5383,0.0869889,13,227.0,14.9028,3.83709,2.3647974,2.83,-9.9,40.3406,-124.3848,10.1959,172.357,18.3105,1.661,304.146,63.5918,2.71208,4.931287,1.45562,3.83709,77.394,18.68646,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/159757,74.4349226572732,-5.783012084575967,57,87.61269860038254
1990-06-26 10:48:49.004777,40.2938,-124.6084,19.3469,0.067351,9,281.0,30.6084,23.5453,11.736841,2.62,-9.9,40.3067,-124.7841,21.5853,188.589,12.8948,5.40613,183.983,-77.0648,14.8582,29.17276,5.02586,23.5453,98.4105,1675.876,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/20092603,54.5527178603296,-11.594765632117985,73,68.44690426884094
1990-07-01 08:17:08.746567,40.3206,-124.6761,14.6062,0.0578862,5,303.0,33.494,31.8418,16.621967,2.03,-9.9,40.4012,-124.9547,20.7056,12.5866,-24.5826,14.2048,210.87,-64.2757,21.2065,39.67256,12.641,31.8418,105.348,5879.745,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/20092618,48.777244711722496,-8.658457375418486,52,62.39614197668669
1990-07-02 02:11:24.500024,40.3251,-124.4,4.7406,0.0137344,4,249.0,17.5629,38.9894,16.87724,1.66,-9.9,40.3434,-124.6987,14.6938,355.664,-25.8121,13.6435,204.209,-61.1623,19.693,49.217,12.1339,38.9894,91.0985,282.6694,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/1178369,72.23829333520048,-7.969900371488963,17,85.6566947155423
1990-07-02 14:30:21.680262,40.3386,-124.7878,13.9656,0.13507,16,243.0,41.0994,6.24236,10.902814,2.73,-9.9,40.3354,-124.7977,19.5748,349.029,0.356643,3.04459,259.041,-1.92266,7.72448,13.51247,2.45846,6.24236,79.0004,232.2775,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/20092620,39.27322972132206,-6.715338607812912,50,52.74107975610083
1990-07-04 07:23:34.651285,40.3683,-124.4503,17.2328,0.0432431,9,245.0,15.2983,6.50834,2.5963438,2.14,-9.9,40.3647,-124.4645,17.0284,173.1,45.0273,2.43897,341.466,44.378,3.69774,8.098609,2.53365,6.50834,77.626,39.39004,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/20092631,67.92024373463676,-3.2128881756043803,76,80.86505666791415
1990-07-05 23:33:39.847028,40.3037,-124.6102,19.2188,0.033373,4,301.0,30.0114,32.6319,15.833654,2.03,-9.9,40.3245,-124.9433,22.942,169.339,57.9409,18.5863,346.48,32.0271,21.9768,40.43421,17.0139,32.6319,77.3518,4373.615,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/20092641,54.391728645613355,-10.496589701484078,73,68.17200632746078
1990-07-23 19:19:49.350190,40.3428,-124.3808,9.1609,0.0208792,4,239.0,15.2249,45.6307,17.364553,1.88,-9.9,40.3749,-124.7014,16.846,359.878,-23.3472,16.145,195.798,-65.8266,21.5782,56.7921,13.8211,45.6307,92.2903,173.8981,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/1178987,73.85066976253496,-5.98866596812794,37,87.0531429885458
1990-07-24 08:53:20.593020,40.3425,-124.3831,9.7055,0.0181618,7,240.0,15.3109,2.38676,2.8941283,2.45,-9.9,40.3416,-124.385,9.41,353.067,-12.7858,1.75735,260.371,-11.7103,2.91782,3.684786,1.52753,2.38676,85.6025,13.59783,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/20092690,73.6555853453528,-6.023895614360936,37,86.86280976499516
1990-08-01 06:58:46.679173,40.3478,-124.4366,14.4781,0.053541,5,262.0,16.5196,40.1636,14.271657,2.08,-9.9,40.3998,-124.8564,17.4248,8.04094,-9.15807,11.5511,219.362,-79.3131,17.2287,49.95732,9.46868,40.1636,98.8639,323.6165,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/1179162,69.1047146074671,-5.478573828000308,56,82.27986752486241
