,lat,lon,depth,slip,rake,strike,dip,t_rup,t_ris,t_fal,mo
127,40.366524,-124.98658,15.7,65.222351,170.861389,96.0,90.0,3.317364,4.5,3.0,4.63977e+24
128,40.363045,-124.943161,15.7,96.450897,173.905334,96.0,90.0,4.133774,4.5,4.5,6.8613e+24
129,40.35957,-124.89975,15.7,147.355103,170.070541,96.0,90.0,5.386923,1.5,3.0,1.04825e+25
130,40.356094,-124.856331,15.7,151.822983,170.039825,96.0,90.0,6.937907,4.5,1.5,1.08003e+25
131,40.352615,-124.812912,15.7,122.001038,182.390823,96.0,90.0,9.335636,1.5,1.5,8.67887e+24
132,40.34914,-124.769493,15.7,89.135788,206.464615,96.0,90.0,12.158733,3.0,3.0,6.34092e+24
133,40.345661,-124.726074,15.7,43.307987,205.857727,96.0,90.0,15.196983,1.5,1.5,3.08083e+24
134,40.342186,-124.682655,15.7,5.378857,177.313599,96.0,90.0,18.44496,1.5,1.5,3.8264e+23
135,40.338711,-124.639236,15.7,0.645953,186.388672,96.0,90.0,21.499533,4.5,1.5,4.59516e+22
136,40.335232,-124.595818,15.7,2.395583,209.08429,96.0,90.0,23.758778,4.5,4.5,1.70416e+23
137,40.331757,-124.552406,15.7,1.045689,179.667572,96.0,90.0,25.421452,4.5,1.5,7.43879e+22
138,40.328278,-124.508987,15.7,5.404364,209.0056,96.0,90.0,26.286709,3.0,3.0,3.84454e+23
139,40.324802,-124.465569,15.7,3.140234,205.005981,96.0,90.0,26.553968,4.5,3.0,2.23389e+23
140,40.321327,-124.42215,15.7,2.297896,196.901276,96.0,90.0,26.422802,3.0,1.5,1.63467e+23
141,40.317848,-124.378731,15.7,0.076509,190.025345,96.0,90.0,26.092899,4.5,4.5,5.44268e+21
142,40.314373,-124.335312,15.7,1.864452,204.114731,96.0,90.0,26.364029,1.5,4.5,1.32633e+23
143,40.310894,-124.291893,15.7,0.504516,204.119812,96.0,90.0,27.236006,3.0,1.5,3.58901e+22
144,40.390862,-125.290504,18.549999,3.283386,177.750916,96.0,90.0,13.506861,4.5,4.5,2.33573e+23
145,40.387383,-125.247093,18.549999,1.679487,197.285782,96.0,90.0,12.144818,1.5,3.0,1.19475e+23
146,40.383907,-125.203674,18.549999,6.585672,205.334381,96.0,90.0,10.43133,3.0,4.5,4.6849e+23
147,40.380432,-125.160255,18.549999,3.095413,194.747604,96.0,90.0,9.000661,4.5,3.0,2.20201e+23
148,40.376953,-125.116837,18.549999,6.409881,182.746338,96.0,90.0,7.520958,1.5,4.5,4.55984e+23
149,40.373478,-125.073418,18.549999,3.446077,188.868576,96.0,90.0,6.125865,4.5,4.5,2.45146e+23
150,40.369999,-125.029999,18.549999,3.763264,193.134125,96.0,90.0,5.02,1.5,4.5,2.6771e+23
151,40.366524,-124.98658,18.549999,15.174174,176.359833,96.0,90.0,4.525865,4.5,3.0,1.07946e+24
152,40.363045,-124.943161,18.549999,46.235489,171.766724,96.0,90.0,4.920959,4.5,1.5,3.28909e+24
153,40.35957,-124.89975,18.549999,80.791336,170.601334,96.0,90.0,6.000661,4.5,1.5,5.74731e+24
